,season,team_api_id,players
19,2011/2012,8472,"[24064.0, 242308.0, 30352.0, 30362.0, 23073.0, 24740.0, 24230.0, 30635.0, 36786.0, 111930.0, 36410.0, 33468.0, 25150.0, 175947.0, 24150.0, 24157.0, 34275.0, 37868.0, 160243.0, 35443.0, 40563.0, 25075.0, 39032.0, 169721.0, 41980.0, 131583.0]"
20,2012/2013,8472,"[30352.0, 46353.0, 23073.0, 24230.0, 36786.0, 111801.0, 33468.0, 25150.0, 33863.0, 175947.0, 24150.0, 24157.0, 24159.0, 38759.0, 37868.0, 25075.0, 35443.0, 160243.0, 32627.0, 40563.0, 169721.0]"
21,2013/2014,8472,"[24064.0, 242308.0, 70297.0, 30362.0, 39331.0, 150833.0, 36786.0, 33468.0, 25150.0, 33863.0, 414792.0, 196169.0, 128209.0, 167634.0, 24150.0, 24159.0, 144996.0, 37233.0, 35443.0, 160243.0, 32627.0, 184822.0, 25075.0, 113908.0, 169721.0, 40563.0, 188540.0]"
22,2014/2015,8472,"[109058.0, 103428.0, 30348.0, 50189.0, 118929.0, 165526.0, 70297.0, 30362.0, 114218.0, 150833.0, 22964.0, 25150.0, 32579.0, 167634.0, 24150.0, 24159.0, 38759.0, 180330.0, 37233.0, 35443.0, 32627.0, 113908.0, 169721.0, 188540.0]"
23,2015/2016,8472,"[109058.0, 166019.0, 103428.0, 30348.0, 118929.0, 109330.0, 93457.0, 165526.0, 30362.0, 158879.0, 520230.0, 432040.0, 303919.0, 22964.0, 25150.0, 598091.0, 101969.0, 24150.0, 24159.0, 39139.0, 750435.0, 42598.0, 38759.0, 180330.0, 37233.0, 35443.0, 32627.0, 184822.0, 26108.0]"
24,2008/2009,8654,"[nan, nan, nan, nan, nan, 23818.0, 30734.0, 27665.0, 36374.0, 33049.0, 37277.0, 34590.0, 24223.0, 33312.0, 36394.0, 24747.0, 24751.0, 37169.0, 24773.0, 109897.0, 109898.0, 30687.0, 23139.0, 26348.0, 34543.0, 160496.0, 33781.0, 30966.0, 118390.0]"
25,2009/2010,8654,"[41475.0, 34947.0, 23818.0, 39306.0, 30353.0, 36374.0, 34590.0, 24223.0, 33312.0, 24744.0, 36394.0, 31020.0, 24751.0, 37169.0, 119351.0, 109897.0, 109898.0, 113239.0, 38491.0, 39658.0, 26348.0, 181229.0, 34543.0, 160496.0, 30966.0, 37242.0]"
26,2010/2011,8654,"[24450.0, 23939.0, 23818.0, 30734.0, 26256.0, 30353.0, 36374.0, 34590.0, 24223.0, 33312.0, 30628.0, 35110.0, 24744.0, 148904.0, 36394.0, 30635.0, 37169.0, 119351.0, 24635.0, 109897.0, 24393.0, 109898.0, 70865.0, 35411.0, 104033.0, 39658.0, 26347.0, 26348.0, 34543.0, 160496.0, 30966.0, 118390.0]"
27,2011/2012,8654,
28,2012/2013,8654,"[23936.0, 295060.0, 47382.0, 30630.0, 35110.0, 91560.0, 39978.0, 24751.0, 43259.0, 37169.0, 24372.0, 25537.0, 109897.0, 24393.0, 109898.0, 30668.0, 40015.0, 24800.0, 24167.0, 34543.0, 23538.0, 23931.0, 23932.0, 23933.0]"
29,2013/2014,8654,"[23936.0, 34193.0, 47382.0, 40220.0, 169756.0, 30630.0, 35110.0, 91560.0, 39978.0, 30892.0, 24751.0, 43259.0, 37169.0, 24372.0, 231804.0, 49860.0, 39367.0, 109897.0, 109898.0, 30668.0, 40015.0, 34543.0, 23538.0, 23931.0, 23932.0, 23933.0]"
30,2014/2015,8654,"[23936.0, nan, 192899.0, 155782.0, 570760.0, 41232.0, 47382.0, 169756.0, 214685.0, 35110.0, 30892.0, 24751.0, 37169.0, 109897.0, 18506.0, 30668.0, 148302.0, 195927.0, 34543.0, 23538.0, 23931.0, 23933.0, 23678.0]"
31,2015/2016,8654,"[nan, 192899.0, 155782.0, 49543.0, 37780.0, 47382.0, 25496.0, 169756.0, 214685.0, 35110.0, 575789.0, 24751.0, 37169.0, 109897.0, 18506.0, 148302.0, 163919.0, 158545.0, 195927.0, 8922.0, 210276.0, 106228.0, 183670.0, 23678.0]"
32,2008/2009,10252,"[23264.0, 40128.0, 34466.0, 23782.0, 33863.0, 30380.0, 24780.0, 43280.0, 38609.0, 23282.0, 24658.0, 23283.0, 30357.0, 26165.0, 38807.0, 25075.0, 23354.0]"
33,2009/2010,10252,"[24211.0, 30357.0, 38807.0, 34466.0, 30380.0, 30892.0, 25518.0, 24751.0, 26165.0, 23354.0, 33863.0, 24136.0, 24780.0, 38609.0, 24658.0, 23264.0, 23282.0, 23283.0, 78324.0]"
34,2010/2011,10252,"[161414.0, 161415.0, 23949.0, 189074.0, 24211.0, 30357.0, 24213.0, 139671.0, 139672.0, 139673.0, 34466.0, 30380.0, 30892.0, 25518.0, 24751.0, 26165.0, 23354.0, 33863.0, 24136.0, 24780.0, 38609.0, 159833.0, 94812.0, 23264.0, 25572.0, 78324.0]"
35,2011/2012,10252,"[161414.0, 161415.0, 282251.0, 23949.0, 29581.0, 69650.0, 24211.0, 30357.0, 24213.0, 139671.0, 139673.0, 24224.0, 34466.0, 184360.0, 24751.0, 24635.0, 33863.0, 24136.0, 38609.0, 94812.0, 23264.0, 110947.0, 32870.0, 78324.0]"
36,2012/2013,10252,"[161414.0, 149895.0, 141576.0, 161415.0, 30602.0, 29581.0, 23949.0, 69650.0, 24213.0, 139671.0, 139673.0, 24224.0, 183715.0, 30503.0, 184360.0, 26539.0, 182223.0, 179793.0, 148315.0, 94812.0, 23264.0, 110947.0, 156007.0, 78324.0]"
37,2013/2014,10252,"[150401.0, 161414.0, 149895.0, 30602.0, 69650.0, 139671.0, 139673.0, 183715.0, 184360.0, 26539.0, 202553.0, 46010.0, 183500.0, 182223.0, 179793.0, 148315.0, 23264.0, 110947.0, 156007.0, 78324.0, 156534.0, 24698.0]"
38,2014/2015,10252,"[161414.0, 30602.0, 56972.0, 29581.0, 30352.0, 358289.0, 69650.0, 139673.0, 24224.0, 183715.0, 30630.0, 184360.0, 30890.0, 93484.0, 23991.0, 257847.0, 312765.0, 160713.0, 183500.0, 182223.0, 148315.0, 23264.0, 32870.0, 78324.0]"
39,2015/2016,10252,"[150401.0, 24579.0, 161414.0, 56972.0, 24208.0, 30352.0, 69650.0, 358289.0, 107415.0, 154280.0, 706985.0, 93484.0, 23991.0, 257847.0, 312765.0, 33086.0, 261313.0, 183500.0, 182223.0, 179410.0, 23264.0, 32870.0, 680815.0, 473853.0]"
40,2008/2009,8668,"[109058.0, 24846.0, 30735.0, 26256.0, 30876.0, 30371.0, 36012.0, 148790.0, 33086.0, 39618.0, 25666.0, 24004.0, 24006.0, 24011.0, 24023.0, 40792.0, 46810.0, 31070.0, 24160.0, 23268.0, 31465.0]"
41,2009/2010,8668,"[109058.0, 24846.0, 30735.0, 24216.0, 30876.0, 30371.0, 30890.0, 36012.0, 39618.0, 25666.0, 24004.0, 24006.0, 24011.0, 24023.0, 40792.0, 46810.0, 30687.0, 24160.0, 23268.0, 31465.0, 30700.0, 30839.0, 10491.0]"
42,2010/2011,8668,"[109058.0, 24846.0, 30735.0, 24216.0, 30876.0, 30371.0, 36012.0, 39618.0, 25666.0, 24006.0, 24011.0, 24023.0, 24160.0, 23268.0, 31465.0, 158962.0, 31989.0, 30839.0, 77690.0, 10491.0]"
43,2011/2012,8668,"[109058.0, 24846.0, 30735.0, 24216.0, 30876.0, 30371.0, 36012.0, 39618.0, 25666.0, 160196.0, 24002.0, 24006.0, 24011.0, 24023.0, 215384.0, 8922.0, 42714.0, 24156.0, 186975.0, 23268.0, 31465.0, 30700.0, 158962.0, 174325.0, 30839.0, 77690.0, 10491.0]"
44,2012/2013,8668,"[32705.0, 39618.0, 30371.0, 30628.0, 23268.0, 24006.0, 26151.0, 25666.0, 31465.0, 36012.0, 24216.0, 24846.0, 30839.0, 24023.0, 215384.0, 8922.0, 24156.0, 77690.0]"
45,2013/2014,8668,"[24846.0, 251925.0, 24216.0, 181276.0, 26151.0, 36012.0, 32448.0, 32705.0, 39618.0, 193859.0, 24006.0, 101192.0, 215384.0, 11736.0, 8922.0, 23268.0, 263653.0, 23782.0, 31465.0, 77690.0]"
46,2014/2015,8668,"[212866.0, 24846.0, 316688.0, 24216.0, 191132.0, 181276.0, 26151.0, 36012.0, 30895.0, 32448.0, 32705.0, 193859.0, 186054.0, 24006.0, 101192.0, 30922.0, 24023.0, 215384.0, 11736.0, 24156.0, 23268.0, 263653.0, 23782.0, 33639.0, 31465.0, 77690.0]"
47,2015/2016,8668,"[212866.0, 24846.0, 316688.0, 251925.0, 181276.0, 26151.0, 30895.0, 516273.0, 32705.0, 193859.0, 24006.0, 186054.0, 101192.0, 160713.0, 30922.0, 215384.0, 306913.0, 23268.0, 263653.0, 23782.0, 31465.0, 213878.0, 77690.0, 419196.0]"
48,2008/2009,8549,"[97932.0, 35608.0, 30892.0, 24753.0, 23352.0, 22978.0, 42183.0, 24393.0, 28108.0, 35544.0, 33754.0, 38491.0, 24159.0, 24161.0, 24162.0, 24163.0, 24166.0, 24167.0, 33128.0, 95344.0, 35442.0, 38899.0, 24183.0]"
49,2009/2010,8549,
50,2010/2011,8549,
51,2011/2012,8549,
52,2012/2013,8549,
53,2013/2014,8549,
54,2014/2015,8549,
55,2015/2016,8549,
56,2008/2009,8559,"[23937.0, 26244.0, 24336.0, 24372.0, 11576.0, 35532.0, 155384.0, 34261.0, 26454.0, 23783.0, 23784.0, 23785.0, 113772.0, 35438.0, 37496.0, 23931.0, 23932.0, 23933.0, 23934.0]"
57,2009/2010,8559,"[23937.0, 24336.0, 24728.0, 30753.0, 143793.0, 24372.0, 11576.0, 40128.0, 35532.0, 24653.0, 34261.0, 26454.0, 23934.0, 23783.0, 23784.0, 23785.0, 113772.0, 130670.0, 155384.0, 23932.0, 34430.0, 163199.0]"
58,2010/2011,8559,"[23937.0, 24455.0, 24336.0, 24728.0, 34430.0, 24372.0, 11576.0, 40128.0, 196169.0, 35532.0, 193869.0, 34261.0, 26454.0, 33633.0, 51553.0, 24166.0, 23783.0, 130670.0, 157303.0, 155384.0, 23932.0, 23934.0]"
59,2011/2012,8559,"[191616.0, 23937.0, 33048.0, 24728.0, 30753.0, 198444.0, 245422.0, 34230.0, 40128.0, 42183.0, 38856.0, 196169.0, 24780.0, 35532.0, 26454.0, 41175.0, 33633.0, 23934.0, 287223.0, 24166.0, 23783.0, 157303.0, 155384.0, 23932.0, 34430.0]"
60,2012/2013,8559,
61,2013/2014,8559,
62,2014/2015,8559,
63,2015/2016,8559,
64,2008/2009,8667,"[30595.0, 34437.0, 23946.0, 23438.0, 26143.0, 38816.0, 39073.0, 23605.0, 3512.0, 23352.0, 24509.0, 32577.0, 40132.0, 26066.0, 34275.0, 111975.0, 23021.0, 23022.0, 23023.0, 23025.0, 23027.0, 23034.0, 34430.0]"
65,2009/2010,8667,"[30595.0, 34437.0, 23563.0, 24843.0, 23438.0, 93458.0, 70297.0, 38816.0, 39073.0, 200864.0, 23333.0, 37798.0, 182962.0, 23225.0, 24509.0, 150591.0, 32577.0, 40132.0, 102602.0, 97489.0, 26066.0, 34275.0, 23021.0, 23022.0, 23025.0, 127857.0, 23027.0, 23284.0, 23034.0]"
66,2010/2011,8667,
67,2011/2012,8667,
68,2012/2013,8667,
69,2013/2014,8667,"[163200.0, 42247.0, 35480.0, 23839.0, 24227.0, 24105.0, 231801.0, 32304.0, 111930.0, 40132.0, 40005.0, 24656.0, 24658.0, 8922.0, 148832.0, 115681.0, 38759.0, 21864.0, 32496.0, 40055.0, 111865.0, 23293.0, 131583.0]"
70,2014/2015,8667,"[163200.0, 42247.0, 35480.0, 190872.0, 23839.0, 24227.0, 24105.0, 231801.0, 26163.0, 111930.0, 40132.0, 105548.0, 40015.0, 24656.0, 101969.0, 24658.0, 24531.0, 32728.0, 8922.0, 115681.0, 21864.0, 212714.0, 32496.0, 357880.0, 111865.0, 131583.0]"
71,2015/2016,8667,
72,2008/2009,8455,"[30856.0, 30859.0, 31906.0, 30627.0, 30630.0, 30631.0, 30635.0, 37804.0, 23984.0, 38834.0, 30911.0, 26564.0, 25925.0, 31306.0, 30675.0, 30679.0, 32345.0, 30686.0, 30822.0, 29673.0, 30699.0, 30456.0]"
73,2009/2010,8455,"[30856.0, 30859.0, 31906.0, 30627.0, 30630.0, 30631.0, 37804.0, 38834.0, 30911.0, 22978.0, 26564.0, 25925.0, 31306.0, 30675.0, 30679.0, 32345.0, 30686.0, 51553.0, 30822.0, 30699.0, 30456.0, 40825.0]"
74,2010/2011,8455,"[30853.0, 163205.0, 30856.0, 30859.0, 31906.0, 30627.0, 52133.0, 30631.0, 37804.0, 38834.0, 26564.0, 25925.0, 31306.0, 30675.0, 79574.0, 30679.0, 32345.0, 30822.0, 40825.0]"
75,2011/2012,8455,"[30853.0, 30856.0, 30859.0, 31906.0, 30627.0, 52133.0, 30631.0, 37804.0, 38834.0, 46010.0, 22978.0, 25923.0, 26564.0, 25925.0, 31306.0, 30675.0, 79574.0, 30679.0, 32345.0, 51553.0, 30822.0, 23783.0, 212470.0, 41468.0]"
76,2012/2013,8455,"[30853.0, 30859.0, 107417.0, 30627.0, 52133.0, 30631.0, 38834.0, 71353.0, 46010.0, 22978.0, 31306.0, 35411.0, 79574.0, 32345.0, 72541.0, 128864.0, 51553.0, 23783.0, 106228.0, 212470.0, 41468.0]"
77,2013/2014,8455,"[30853.0, 94086.0, 30859.0, 107417.0, 30627.0, 52133.0, 30631.0, 30633.0, 38834.0, 178812.0, 31306.0, 201934.0, 35411.0, 79574.0, 32345.0, 72541.0, 128864.0, 23783.0, 33639.0, 292462.0, 169200.0, 115067.0, 41468.0]"
78,2014/2015,8455,"[94086.0, 30859.0, 30613.0, 107417.0, 30627.0, 19243.0, 39987.0, 604982.0, 31306.0, 41167.0, 170323.0, 79574.0, 32345.0, 72541.0, 128864.0, 30822.0, 23783.0, 281207.0, 115067.0, 178812.0]"
79,2015/2016,8455,"[94086.0, 30613.0, 107417.0, 467354.0, 30627.0, 19243.0, 324910.0, 39987.0, 46518.0, 604982.0, 31306.0, 170323.0, 303059.0, 458324.0, 79574.0, 32345.0, 46554.0, 72541.0, 128864.0, 23783.0, 150250.0, 281207.0, 115067.0]"
80,2008/2009,10194,"[23307.0, 35467.0, 23314.0, 33045.0, 33941.0, 23072.0, 23333.0, 34214.0, 35636.0, 24001.0, 25668.0, 40005.0, 24133.0, 24773.0, 23369.0, 23371.0, 22994.0, 23253.0, 38755.0, 23275.0, 23794.0, 33650.0, 23284.0, 24435.0, 40695.0, 23288.0, 40574.0]"
81,2009/2010,10194,"[23307.0, 35467.0, 23314.0, 23072.0, 46518.0, 24001.0, 25668.0, 40005.0, 24133.0, 24773.0, 42183.0, 23369.0, 23253.0, 24408.0, 24411.0, 38755.0, 23794.0, 38899.0, 24435.0, 40695.0, 23288.0]"
82,2010/2011,10194,"[35467.0, 30988.0, 33941.0, 34601.0, 26165.0, 46518.0, 47418.0, 25668.0, 40005.0, 24773.0, 42183.0, 24133.0, 23369.0, 23253.0, 24408.0, 33881.0, 24411.0, 38755.0, 23794.0, 38899.0, 40695.0]"
83,2011/2012,10194,"[23818.0, 30988.0, 106910.0, 38697.0, 34601.0, 46518.0, 47418.0, 25668.0, 24773.0, 97988.0, 24133.0, 23369.0, 31953.0, 23253.0, 33881.0, 24411.0, 38755.0, 30830.0, 23794.0, 38899.0, 40695.0]"
84,2012/2013,10194,"[39109.0, 24773.0, 23369.0, 30988.0, 30830.0, 31953.0, 38899.0, 32148.0, 23253.0, 46518.0, 40695.0, 119541.0, 33881.0, 47418.0, 24411.0, 109621.0, 106910.0]"
85,2013/2014,10194,"[30988.0, 24213.0, 109621.0, 46518.0, 47418.0, 97988.0, 24773.0, 110148.0, 173382.0, 39109.0, 23369.0, 37194.0, 95434.0, 25550.0, 23253.0, 33881.0, 30830.0, 288880.0, 23794.0, 38899.0, 119541.0, 40695.0]"
86,2014/2015,10194,"[200962.0, 96643.0, 24213.0, 72735.0, 36786.0, 109621.0, 46518.0, 47418.0, 110148.0, 39109.0, 173382.0, 37194.0, 95434.0, 25550.0, 23253.0, 33881.0, 30830.0, 288880.0, 23283.0, 106228.0, 119541.0, 40695.0]"
87,2015/2016,10194,"[200962.0, 96643.0, 72735.0, 24224.0, 172321.0, 188971.0, 176300.0, 36786.0, 26434.0, 110148.0, 39109.0, 173382.0, 37194.0, 186831.0, 23253.0, 33881.0, 30830.0, 288880.0, 34036.0, 119541.0, 40695.0, 199291.0]"
88,2008/2009,8650,"[25984.0, 30853.0, 37139.0, 30617.0, 30618.0, 46621.0, 37920.0, 38818.0, 30889.0, 34222.0, 24635.0, 47547.0, 37442.0, 30915.0, 30660.0, 24134.0, 414792.0, 41175.0, 95327.0, 24800.0, 22764.0, 40701.0]"
89,2009/2010,8650,"[25984.0, 181379.0, 30853.0, 37139.0, 30617.0, 30618.0, 46621.0, 37920.0, 38818.0, 30886.0, 34222.0, 27694.0, 47547.0, 30915.0, 30660.0, 414792.0, 41175.0, 95327.0, 24800.0, 33632.0, 95331.0, 22764.0, 30835.0, 34036.0, 39032.0]"
90,2010/2011,8650,"[25984.0, 30853.0, 37262.0, 37139.0, 47382.0, 30617.0, 30618.0, 154271.0, 30630.0, 32937.0, 34222.0, 40636.0, 25923.0, 30660.0, 24781.0, 41175.0, 95327.0, 33632.0, 95331.0, 22764.0, 239856.0, 34036.0, 168308.0, 39032.0]"
91,2011/2012,8650,"[25984.0, 37139.0, 165526.0, 47382.0, 30617.0, 127130.0, 30618.0, 154271.0, 30892.0, 39351.0, 40636.0, 30660.0, 39109.0, 95327.0, 33632.0, 37475.0, 95331.0, 156008.0, 22764.0, 239856.0, 34036.0, 33781.0]"
92,2012/2013,8650,"[25984.0, 165526.0, 30617.0, 127130.0, 30618.0, 154271.0, 30892.0, 246575.0, 40636.0, 265918.0, 30660.0, 47558.0, 280276.0, 184536.0, 95327.0, 51553.0, 37475.0, 27365.0, 156008.0, 22764.0, 35442.0, 34036.0, 184822.0]"
93,2013/2014,8650,"[25984.0, 174472.0, 30618.0, 93484.0, 246575.0, 40636.0, 265918.0, 47558.0, 184536.0, 94043.0, 95327.0, 51553.0, 37475.0, 156008.0, 22764.0, 37868.0, 30831.0, 239856.0, 34036.0, 106228.0]"
94,2014/2015,8650,"[108808.0, 30618.0, 246575.0, 39225.0, 280260.0, 47558.0, 307021.0, 280653.0, 299984.0, 184536.0, 94043.0, 114268.0, 95327.0, 51553.0, 37475.0, 156008.0, 22764.0, 37868.0, 314605.0, 30831.0, 37234.0, 35442.0, 34036.0, 184822.0]"
95,2015/2016,8650,"[254472.0, 515338.0, 157838.0, 242709.0, 38807.0, 289817.0, 214426.0, 562593.0, 47558.0, 280653.0, 307021.0, 184536.0, 426202.0, 94043.0, 148315.0, 114268.0, 680031.0, 95327.0, 51553.0, 611682.0, 156008.0, 22764.0, 37868.0, 314605.0, 30831.0, 239856.0, 37234.0, 157303.0, 568571.0, 608125.0]"
96,2008/2009,10261,"[29581.0, 34574.0, 24205.0, 47382.0, 38807.0, 30360.0, 30619.0, 30623.0, 24224.0, 24225.0, 24227.0, 24228.0, 37799.0, 30248.0, 24234.0, 25518.0, 23983.0, 26161.0, 24890.0, 33852.0, 36412.0, 30929.0, 37845.0, 26209.0, 37475.0, 40565.0, 23933.0]"
97,2009/2010,10261,
98,2010/2011,10261,"[24205.0, 47382.0, 23579.0, 24225.0, 24227.0, 49571.0, 24229.0, 24228.0, 30248.0, 38831.0, 26163.0, 24890.0, 33852.0, 36412.0, 24899.0, 30929.0, 150613.0, 37475.0, 38373.0, 34418.0, 40565.0, 174326.0, 23933.0, 35454.0]"
99,2011/2012,10261,"[264840.0, 24205.0, 23579.0, 39968.0, 24225.0, 49571.0, 24228.0, 24229.0, 26160.0, 128946.0, 26163.0, 24890.0, 33852.0, 150466.0, 24899.0, 30929.0, 35411.0, 46810.0, 38373.0, 46700.0, 40565.0, 35454.0]"
100,2012/2013,10261,"[23579.0, 39968.0, 93985.0, 24225.0, 49571.0, 24228.0, 24229.0, 24227.0, 26154.0, 23979.0, 26160.0, 26163.0, 33852.0, 31292.0, 212416.0, 150466.0, 24899.0, 30929.0, 35411.0, 109652.0, 94550.0, 38373.0, 41191.0, 46700.0, 240236.0, 174326.0]"
101,2013/2014,10261,"[264840.0, 93985.0, 24225.0, 24228.0, 24229.0, 26154.0, 23979.0, 26160.0, 26163.0, 39987.0, 150201.0, 33852.0, 31292.0, 150466.0, 24899.0, 308932.0, 30929.0, 109652.0, 94550.0, 46810.0, 38373.0, 46700.0, 240236.0]"
102,2014/2015,10261,"[289159.0, 264840.0, 161420.0, 199834.0, 519835.0, 39968.0, 104482.0, 24228.0, 24229.0, 23979.0, 479020.0, 301234.0, 24890.0, 33852.0, 31292.0, 24899.0, 308932.0, 30929.0, 109652.0, 94550.0, 38373.0, 240236.0, 46700.0, 160243.0]"
103,2015/2016,10261,"[277761.0, 108038.0, 350472.0, 163604.0, 166422.0, 127130.0, 39968.0, 104482.0, 24228.0, 24229.0, 23979.0, 479020.0, 94010.0, 31292.0, 570431.0, 279489.0, 308932.0, 30929.0, 109652.0, 94550.0, 103899.0, 254308.0, 38373.0, 46700.0, 240236.0, 160243.0, 351860.0]"
104,2008/2009,9879,"[24737.0, 30338.0, 31907.0, 23780.0, 24741.0, 25253.0, 34248.0, 30633.0, 24843.0, 30956.0, 24781.0, 43247.0, 40080.0, 37266.0, 24020.0, 24661.0, 26777.0, 26461.0]"
